,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
177,775 S York St Unit D,1,1,1.0,1.0,N/A,N/A,39.702467,-104.960872,2.8486732980365184,845,845,Washington Park,Washington Park,59.0,43.0,79.0,6915.0
178,920 E 24th Ave,3,3,4.0,4.0,2000,2000,39.751794,-104.975088,2.939321229967873,3495,3495,Five Points,Five Points,90.0,73.0,97.0,12709.0
179,407 29th St,3,3,1.0,1.0,N/A,N/A,39.7557,-104.973996,3.2997543450349753,1895,1895,Five Points,Five Points,90.0,73.0,97.0,12709.0
180,440 29th St,1,1,1.0,1.0,N/A,N/A,39.755698,-104.974764,3.324015466602585,1375,1375,Five Points,Five Points,90.0,73.0,97.0,12709.0
181,437 29th St,1,1,1.0,1.0,N/A,N/A,39.755858,-104.974333,3.326675002239395,1225,1225,Five Points,Five Points,90.0,73.0,97.0,12709.0
182,442 29th St,2,2,1.0,1.0,N/A,N/A,39.755797,-104.974746,3.333614402102135,1375,1375,Five Points,Five Points,90.0,73.0,97.0,12709.0
183,453 29th St,1,1,1.0,1.0,N/A,N/A,39.755988,-104.974499,3.3453674669156603,1235,1235,Five Points,Five Points,90.0,73.0,97.0,12709.0
184,4550 Cherry Creek Dr S,1,3,1.0,3.0,851,1947,39.70374,-104.93456,3.4704319924704965,1486,3209,Glendale,,,,,
185,650 S Dahlia Cir,1,3,1.0,2.0,739,1249,39.705704,-104.930638,3.5327149498460115,1415,2165,Glendale,,,,,
186,5100 Leetsdale Dr,1,1,1.0,1.0,625,625,39.707405,-104.927699,3.591538673942096,1050,1050,Atrii,,,,,
187,801 S Cherry St,1,3,1.0,2.0,572,1371,39.70171,-104.93454,3.650270076459822,1493,2933,Glendale,,,,,
188,4750 E Cherry Creek South Dr,1,3,1.0,2.0,687,1429,39.702639,-104.932119,3.697703607686859,1200,2615,Washington Virginia Vale,Washington Virginia Vale,67.0,44.0,77.0,12838.0
189,818-848 S Dexter St,1,2,1.0,2.0,580,985,39.70179,-104.93229,3.7612132009595705,1130,1465,Washington Virginia Vale,Washington Virginia Vale,67.0,44.0,77.0,12838.0
190,601 S Forest St,0,2,1.0,1.0,290,845,39.704907,-104.927675,3.776925316766345,1020,1415,Glendale,,,,,
191,878 S Dexter St,0,2,1.0,2.0,500,1080,39.70056,-104.93238,3.8637964856496616,1007,1041,Washington Virginia Vale,Washington Virginia Vale,67.0,44.0,77.0,12838.0
192,911 S Dahlia St,2,2,1.0,1.0,780,780,39.699494,-104.932073,3.9740787138806546,1300,1300,Glendale,,,,,
193,3331 N Race St,2,2,1.5,1.5,950,950,39.763875,-104.963555,3.994682491070083,2195,2195,Cole,Cole,82.0,54.0,92.0,4646.0
194,980 S Dexter St Apt 17,0,0,1.0,1.0,N/A,N/A,39.698658,-104.932014,4.051816349916707,995,995,Glendale,,,,,
195,980 S Dexter St Apt 10,1,1,1.0,1.0,N/A,N/A,39.698658,-104.932014,4.051816349916707,1115,1115,Glendale,,,,,
196,980 S Dexter St Apt 24,0,0,1.0,1.0,N/A,N/A,39.698658,-104.932014,4.051816349916707,995,995,Glendale,,,,,
197,980 S Dexter St Apt 15,1,1,1.0,1.0,N/A,N/A,39.698658,-104.932014,4.051816349916707,1095,1095,Glendale,,,,,
198,5151 E 28th Ave,2,3,4.0,4.0,1619,2010,39.756756,-104.927923,4.205736031976423,2800,3200,Park Hill,Park Hill,60.0,47.0,80.0,25806.0
